Ending Crop Conditions: U.S. Corn,,,,,,,,,,Trend coef,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Very Poor,Poor,Fair,Good,Excellent,G+E,Trend Yield per HA,% Deviation from Trend Yield per Harvested Acre,Yield per HA,Percentage Deviation from Yield,,Yield Forecast,,,,,,,,
1986,,1,3,12,55,29,84,106.41,,119.4,12.20%,,106.543365,,,,,,,,
1987,,1,3,13,61,22,83,108.47,,119.8,10.45%,,108.58033,,,,,,,,
1988,,11,34,36,17,2,19,110.52,,84.6,-23.45%,,110.261295,,,,,,,,
1989,,2,8,24,54,12,66,112.57,,116.3,3.31%,,112.61126,,,,,,,,
1990,,1,3,21,65,10,75,114.63,,118.5,3.38%,,114.666225,,,,,,,,
1991,,5,9,33,44,9,53,116.68,,108.6,-6.93%,,116.60019,,,,,,,,
1992,,1,3,16,55,25,80,118.73,,131.5,10.75%,,118.862155,,,,,,,,
1993,,4,15,36,39,6,45,120.79,,100.7,-16.63%,,120.58712,,,,,,,,
1994,,1,1,12,60,26,86,122.84,,138.6,12.83%,,122.999085,,,,,,,,
1995,,2,10,36,46,6,52,124.90,,113.5,-9.12%,,124.78105,,,,,,,,
1996,,2,7,25,48,18,66,126.95,,127.1,0.12%,,126.950015,,,,,,,,
1997,,2,7,27,50,14,64,129.00,,126.7,-1.78%,,128.97898,,,,,,,,
1998,,3,6,22,49,20,69,131.06,,134.4,2.55%,,131.088945,,,,,,,,
1999,,4,9,27,45,15,60,133.11,,133.8,0.52%,,133.11591,,,,,,,,
2000,,4,8,25,46,17,63,135.16,,136.9,1.29%,,135.179875,,,,,,,,
2001,,3,9,30,44,14,58,137.22,,138.2,0.72%,,137.22584,,,,,,,,
2002,,12,17,27,34,10,44,139.27,,129.3,-7.16%,,139.169805,,,,,,,,
2003,,7,12,28,40,13,53,141.32,,142.2,0.62%,,141.33177,,,,,,,,
2004,,2,5,18,48,27,75,143.38,,160.3,11.80%,,143.545735,,,,,,,,
2005,,7,11,25,40,17,57,145.43,,147.9,1.70%,,145.4547,,,,,,,,
2006,,5,9,23,45,18,63,147.48,,149.1,1.10%,,147.499665,,,,,,,,
2007,,4,8,23,46,19,65,149.54,,150.7,0.78%,,149.54863,,,,,,,,
2008,,3,8,25,47,17,64,151.59,,153.3,1.13%,,151.607595,,,,,,,,
2009,,3,7,23,48,19,67,153.64,,164.4,7.00%,,153.75156,,,,,,,,
2010,,3,8,21,48,20,68,155.70,,152.6,-1.99%,,155.666525,,,,,,,,
2011,,7,12,27,42,12,54,157.75,,146.8,-6.94%,,157.64149,,,,,,,,
2012,,26,24,25,21,4,25,159.80,,123.1,-22.97%,,159.437455,,,,,,,,
2013,,4,9,25,44,18,62,161.86,,158.1,-2.32%,,161.82042,,,,,,,,
2014,,2,5,19,50,24,74,163.91,,171,4.32%,,163.982385,,,,,,,,
2015,,3,7,22,48,20,68,165.97,,168.4,1.47%,,165.98935,,,,,,,,
2016,,2,5,19,54,20,74,168.02,,174.6,3.92%,,168.084315,,,,,,,,
2017,,3,8,23,50,16,66,170.07,,176.6,3.84%,,170.13728,,,,,,,,
2018,,4,8,20,48,20,68,-3973.89,,178.9,-104.50%,,-3932.36309,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
